rxn_id,path,atom_count,symbols,coords
kfir_rxn_10218,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_10218/calcs/TSs/TS0/conformer11,14,"[""O"", ""C"", ""C"", ""O"", ""C"", ""O"", ""H"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]","[[0.3685998507, -0.4554563248, 1.513215853], [1.093275933, -0.83969385, 0.5650741938], [2.355424525, -1.4564204548, 0.8661552673], [3.3047699593, -1.9303279915, 1.2953858878], [0.9629026663, -0.775287927, -0.8257057946], [-0.075903686, -0.2367100617, -1.3523948669], [1.7434260101, -1.18691947, -1.4857317081], [-2.3299659633, 1.1462717892, 0.1371798079], [-2.4514643025, 1.1076509321, -1.3107765819], [-2.0614950292, 2.2650868737, -0.7641661832], [-1.4440710595, 0.7105830181, 0.6210204984], [-3.2160770485, 1.3025267675, 0.76244798], [-0.8662086038, 0.1733239299, -1.7531616022], [-3.2912380717, 1.0404959193, -2.0149500314]]"
kfir_rxn_679,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_679/calcs/TSs/TS0/conformer6,14,"[""N"", ""N"", ""C"", ""Cl"", ""N"", ""C"", ""N"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]","[[2.5699550774, -0.5130811619, 0.7978368487], [1.5260565064, -0.4889248859, 1.6390342128], [0.3416099275, -0.3362085008, 1.1239012177], [-1.0449502635, -0.3207209429, 2.1412122082], [0.1644262022, -0.191508623, -0.1913736044], [1.1739026659, -0.2111210287, -1.0518323345], [2.422546235, -0.4018928741, -0.4746032304], [-1.952322112, 0.4747589397, -1.5440005213], [-1.5864041441, 0.1081727831, -2.9045218517], [-1.4270419248, 1.4303210079, -2.3448916827], [-0.9371167402, 0.0465771706, -0.6540858036], [-2.9400978265, 0.6077455901, -1.0806253891], [-0.640594817, -0.4188906392, -3.0707029971], [-2.3500503762, 0.039216475, -3.6865745924]]"
kfir_rxn_10391,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_10391/calcs/TSs/TS0/conformer6,14,"[""O"", ""C"", ""N"", ""O"", ""C"", ""N"", ""H"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H""]","[[-0.9678993975, 0.6482539094, -0.587657291], [-0.5965318161, 0.7263585876, 0.6443872788], [-1.4560912418, 0.6399133409, 1.6514866363], [-0.6822068162, 0.8440712664, 2.7531585919], [0.5763280435, 0.9907415759, 2.3343050524], [0.7083022034, 0.9326591818, 1.0581017032], [1.3374464541, 1.1434929654, 3.0986785105], [0.1239975118, -1.5439033919, -4.0985871081], [0.1386515205, -1.5332476109, -2.8835691086], [0.1280840306, -1.4734373939, -1.4622329726], [0.1165021542, -1.5613657681, -5.1728030664], [-0.4330778177, -0.4066812343, -1.141446953], [1.1166483283, -1.3517569529, -0.9980264453], [-0.4836395608, -2.2439749651, -0.974043518]]"
kfir_rxn_4836,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_4836/calcs/TS_guesses/TS0/tsg0/Heuristics_0.xyz,13,"[""N"", ""C"", ""C"", ""C"", ""N"", ""N"", ""O"", ""C"", ""C"", ""C"", ""C"", ""H"", ""H""]","[[-3.06873352, -2.11e-06, 1.40849973], [-1.93383003, -9e-07, 1.57528194], [-0.52657844, 1.2e-07, 1.74435534], [0.4944692, 1.2e-07, 0.8590467], [1.64061764, 9.6e-07, 1.60659275], [1.36723009, 1.19e-06, 2.82518664], [-0.01796442, 9e-08, 2.9744161], [0.4944692, 1.2e-07, -5.47936726], [0.4944692, 1.2e-07, -4.27946892], [0.4944692, 1.2e-07, -2.90692196], [0.4944692, 1.2e-07, -1.70702362], [0.4944692, 1.2e-07, -6.54307157], [0.4944692, 1.2e-07, -0.43057844]]"
kfir_rxn_13651,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_13651/calcs/TSs/TS0/conformer6,14,"[""O"", ""C"", ""C"", ""C"", ""N"", ""H"", ""H"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H""]","[[-1.2802288896, 0.6918800346, 1.7453085789], [-0.4359085955, 0.2259384382, 0.8552180061], [0.6498334506, 1.0295169242, 0.7008557744], [0.3549099867, 2.0695627819, 1.6310729062], [-0.7806716527, 1.8807172388, 2.2525169439], [1.5050233635, 0.9052254155, 0.0447265935], [0.9403125472, 2.9573200341, 1.868680735], [1.1076624005, -2.5111018526, -2.1040749523], [0.1580251129, -2.3636512805, -1.3681573799], [-0.9578367552, -2.1525596996, -0.4766620566], [1.9440856019, -2.6551470668, -2.7622860664], [-0.7806847095, -1.1420438773, 0.1187735553], [-1.0486004866, -2.9309916866, 0.2933004828], [-1.9118360255, -2.015244194, -1.0039809009]]"
kfir_rxn_1315,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_1315/calcs/TSs/TS0/conformer6,13,"[""O"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""N"", ""C"", ""O"", ""H"", ""H"", ""H""]","[[-0.4992120507, 1.0842312631, -0.4664894152], [0.4183231203, 1.9261937389, 0.0910986513], [1.6838953543, 1.306097334, 0.6630626072], [1.8780618315, 0.1352455438, 0.8415396323], [0.0192043042, 2.564045154, 0.9142988076], [0.7733985604, 2.627629777, -0.6903009886], [2.4507237082, 2.0677397458, 0.9535886252], [-0.7858501477, -0.8432656527, 0.8180067283], [-1.2666458702, -1.8772665192, 0.0491426975], [-2.0925267604, -1.7625310377, -0.8210753456], [-0.8765763762, 0.2700683313, 0.2820761682], [0.143456345, -1.0246322534, 1.2041006219], [-0.8603802689, -2.8747071249, 0.3517312497]]"
kfir_rxn_5389,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_5389/calcs/TSs/TS0/conformer6,14,"[""O"", ""C"", ""N"", ""C"", ""C"", ""H"", ""H"", ""N"", ""C"", ""C"", ""C"", ""N"", ""H"", ""H""]","[[0.9484382022, 0.7200859203, -0.0874573378], [0.6820301785, 0.9360800184, 1.1971656829], [-0.4306893011, 0.6659476735, 1.7429732443], [1.8566590271, 1.5122975289, 1.8268329658], [2.823733118, 1.9945299665, 2.3681590282], [-0.4172316987, 0.8967790582, 2.7350731703], [3.6827201307, 2.4223891282, 2.85383733], [-1.4381432247, -0.2392709687, -3.4919836428], [-1.3192107031, -0.3812114838, -2.3510521396], [-1.1548209031, -0.5102757446, -0.9161653295], [-0.995492316, -1.8660438049, -0.4268897819], [-0.8501882763, -2.9380119986, -0.0207503195], [-0.1434698663, 0.0723938366, -0.6346106711], [-1.913616997, 0.0395836499, -0.3423353193]]"
kfir_rxn_5161,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_5161/calcs/TS_guesses/TS0/tsg0/Heuristics_4.xyz,12,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""C"", ""H"", ""H"", ""H"", ""H""]","[[-1.72666517, 0.56080756, 1.33070762], [-0.73164739, 0.36724702, 0.69354197], [0.46955369, 0.15504173, -0.11707134], [1.08307407, 1.35527449, -0.53149283], [-2.61070283, 0.73277916, 1.89680647], [1.21452777, -0.38353549, 0.47017762], [0.4176708, 1.90980661, -0.94279176], [0.46955369, -2.31786315, -0.99140305], [0.46955369, -1.0858562, -0.55580896], [1.35870148, -2.83116132, -0.62842991], [-0.41956019, -2.83120202, -0.62839782], [0.46955369, -2.31786315, -2.08035711]]"
kfir_rxn_5172,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_5172/calcs/TSs/TS0/conformer6,11,"[""C"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""C"", ""O"", ""H"", ""H""]","[[-0.2383554544, 0.9312754135, -0.5681127], [-0.2300807363, 0.8902549793, 0.7159501908], [-0.2139775086, 0.7053526676, 2.0349669167], [0.8897419162, 0.6402338809, 2.8122680725], [-0.2701321398, 1.7825511405, -1.2541282067], [-1.1367736846, 0.615839404, 2.6143795003], [1.6715833753, 0.7352045414, 2.2565717632], [-0.2030404428, -1.4479148394, -1.8974470638], [-0.1291790577, -1.5471772593, -3.0743188006], [-0.2173355264, -0.2583280273, -1.2516538566], [-0.270552251, -2.3278910712, -1.1946374459]]"
kfir_rxn_4303,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_4303/calcs/TSs/TS0/conformer6,13,"[""N"", ""N"", ""N"", ""N"", ""C"", ""O"", ""H"", ""C"", ""C"", ""N"", ""H"", ""H"", ""H""]","[[-0.7270896748, 0.2514072197, 0.1929482233], [-0.7768427567, -0.8360991124, -0.58056402], [-0.5821416831, -1.966171594, 0.1004687239], [-0.3409796734, -1.6944109244, 1.3087416936], [-0.3719574346, -0.2848421981, 1.4667715811], [-0.1228114795, 0.3600538527, 2.445774604], [-1.1112772715, -0.8388617004, -1.5384160568], [1.2986167413, 1.6582256571, -0.6394509255], [1.4363620295, 0.9295113587, -1.8464831225], [1.425325258, 0.2573473484, -2.7957745772], [0.086921065, 1.0515584876, -0.1581414329], [2.0327974522, 1.4496046587, 0.1463807901], [0.9913746176, 2.7053283864, -0.7353900411]]"
